industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age,founder_strength,funding_momentum,startup_maturity,funding_intensity,strong_team_flag
Healthtech,2016,Pune,1,Series A,1.92,Vc,Large,Small,8,10,0.21333333333333332,Mature,15.36,No
Saas,2022,Hyderabad,4,Seed,10.26,Vc,Large,Large,2,40,3.42,Early,20.52,Yes
Healthtech,2011,Hyderabad,2,Seed,7.1,Pe,Medium,Medium,13,20,0.5071428571428571,Mature,92.3,No
Healthtech,2016,Chennai,1,Seed,14.38,Vc,Large,Large,8,10,1.597777777777778,Mature,115.04,No
E-Commerce,2021,Mumbai,3,Series B,11.51,Angel,Medium,Large,3,30,2.8775,Early,34.53,Yes
Saas,2009,Chennai,1,Seed,11.7,Angel,Medium,Medium,15,10,0.73125,Mature,175.5,No
E-Commerce,2014,Bangalore,2,Series A,10.32,Pe,Medium,Large,10,20,0.9381818181818182,Mature,103.2,No
E-Commerce,2018,Pune,3,Seed,19.84,Angel,Medium,Large,6,30,2.834285714285714,Growth,119.03999999999999,Yes
Saas,2018,Chennai,1,Series A,10.87,Vc,Small,Large,6,10,1.5528571428571427,Growth,65.22,No
Fintech,2012,Mumbai,2,Seed,1.63,Pe,Small,Small,12,20,0.12538461538461537,Mature,19.56,No
E-Commerce,2015,Hyderabad,2,Series A,6.58,Vc,Medium,Medium,9,20,0.658,Mature,59.22,No
Ai,2018,Hyderabad,3,Series B,15.66,Angel,Medium,Large,6,30,2.237142857142857,Growth,93.96000000000001,Yes
Ai,2021,Bangalore,3,Seed,12.64,Pe,Medium,Large,3,30,3.16,Early,37.92,Yes
Healthtech,2015,Delhi,4,Series A,13.74,Angel,Small,Large,9,40,1.374,Mature,123.66,Yes
Ai,2021,Chennai,4,Series B,18.45,Vc,Small,Large,3,40,4.6125,Early,55.349999999999994,Yes
Healthtech,2021,Bangalore,1,Seed,8.99,Pe,Small,Medium,3,10,2.2475,Early,26.97,No
Fintech,2011,Hyderabad,4,Seed,0.59,Angel,Large,Small,13,40,0.04214285714285714,Mature,7.67,Yes
Saas,2020,Mumbai,4,Seed,19.8,Angel,Small,Large,4,40,3.96,Growth,79.2,Yes
Saas,2011,Mumbai,3,Series B,9.2,Pe,Medium,Large,13,30,0.6571428571428571,Mature,119.6,Yes
Saas,2022,Pune,1,Series A,2.13,Pe,Large,Medium,2,10,0.71,Early,4.26,No
Ai,2015,Delhi,2,Series A,11.06,Pe,Medium,Large,9,20,1.106,Mature,99.54,No
Fintech,2010,Delhi,3,Seed,11.89,Vc,Small,Medium,14,30,0.7926666666666667,Mature,166.46,Yes
Ai,2014,Hyderabad,2,Series B,11.37,Vc,Large,Large,10,20,1.0336363636363635,Mature,113.69999999999999,No
Ai,2015,Delhi,4,Seed,19.31,Angel,Large,Large,9,40,1.9309999999999998,Mature,173.79,Yes
Fintech,2015,Delhi,4,Seed,6.53,Angel,Large,Medium,9,40,0.653,Mature,58.77,Yes
Fintech,2018,Mumbai,4,Seed,0.88,Angel,Large,Small,6,40,0.12571428571428572,Growth,5.28,Yes
Fintech,2017,Pune,2,Seed,18.41,Vc,Large,Large,7,20,2.30125,Growth,128.87,No
Fintech,2011,Chennai,1,Seed,3.99,Vc,Medium,Small,13,10,0.28500000000000003,Mature,51.870000000000005,No
Saas,2016,Mumbai,3,Series A,15.04,Pe,Small,Large,8,30,1.671111111111111,Mature,120.32,Yes
Edtech,2022,Pune,4,Series B,4.24,Angel,Large,Large,2,40,1.4133333333333333,Early,8.48,Yes
Edtech,2017,Mumbai,4,Seed,16.61,Vc,Large,Large,7,40,2.07625,Growth,116.27,Yes
Fintech,2011,Hyderabad,1,Seed,18.15,Vc,Large,Large,13,10,1.2964285714285713,Mature,235.95,No
Edtech,2015,Pune,3,Seed,2.29,Vc,Large,Small,9,30,0.229,Mature,20.61,Yes
Edtech,2013,Pune,1,Seed,3.12,Angel,Medium,Small,11,10,0.26,Mature,34.32,No
Fintech,2012,Hyderabad,1,Series A,18.52,Vc,Medium,Large,12,10,1.4246153846153846,Mature,222.24,No
Edtech,2022,Pune,4,Seed,15.46,Angel,Medium,Large,2,40,5.153333333333333,Early,30.92,Yes
Ai,2011,Chennai,4,Seed,0.97,Vc,Medium,Small,13,40,0.06928571428571428,Mature,12.61,Yes
Healthtech,2012,Bangalore,1,Seed,3.81,Angel,Medium,Small,12,10,0.29307692307692307,Mature,45.72,No
Healthtech,2022,Delhi,2,Seed,8.36,Pe,Large,Large,2,20,2.7866666666666666,Early,16.72,No
Fintech,2020,Pune,4,Seed,17.31,Vc,Medium,Large,4,40,3.4619999999999997,Growth,69.24,Yes
Saas,2022,Delhi,3,Seed,3.19,Angel,Medium,Small,2,30,1.0633333333333332,Early,6.38,Yes
Fintech,2018,Mumbai,4,Series A,14.54,Vc,Large,Large,6,40,2.077142857142857,Growth,87.24,Yes
Saas,2008,Mumbai,2,Seed,1.86,Angel,Small,Small,16,20,0.10941176470588236,Mature,29.76,No
Healthtech,2014,Pune,2,Series B,9.45,Angel,Small,Large,10,20,0.859090909090909,Mature,94.5,No
Fintech,2015,Pune,1,Seed,14.63,Angel,Large,Large,9,10,1.463,Mature,131.67000000000002,No
E-Commerce,2019,Pune,1,Series A,1.48,Angel,Large,Small,5,10,0.24666666666666667,Growth,7.4,No
Ai,2016,Chennai,2,Seed,4.24,Pe,Small,Small,8,20,0.47111111111111115,Mature,33.92,No
Edtech,2020,Pune,3,Seed,15.88,Vc,Large,Large,4,30,3.176,Growth,63.52,Yes
Saas,2010,Delhi,1,Seed,3.44,Vc,Large,Medium,14,10,0.22933333333333333,Mature,48.16,No
E-Commerce,2022,Mumbai,2,Seed,13.42,Angel,Medium,Large,2,20,4.473333333333334,Early,26.84,No
Edtech,2016,Mumbai,3,Seed,12.92,Pe,Medium,Large,8,30,1.4355555555555555,Mature,103.36,Yes
Edtech,2017,Pune,3,Series A,10.5,Angel,Medium,Large,7,30,1.3125,Growth,73.5,Yes
Fintech,2012,Hyderabad,2,Seed,4.19,Angel,Small,Small,12,20,0.32230769230769235,Mature,50.28,No
Edtech,2017,Bangalore,2,Series A,8.46,Angel,Large,Large,7,20,1.0575,Growth,59.220000000000006,No
Ai,2013,Pune,3,Seed,12.51,Angel,Large,Large,11,30,1.0425,Mature,137.60999999999999,Yes
E-Commerce,2008,Chennai,3,Seed,17.66,Vc,Small,Large,16,30,1.0388235294117647,Mature,282.56,Yes
Edtech,2016,Bangalore,2,Seed,16.0,Vc,Large,Large,8,20,1.7777777777777777,Mature,128.0,No
Fintech,2016,Bangalore,2,Series A,12.23,Angel,Small,Large,8,20,1.358888888888889,Mature,97.84,No
Ai,2013,Pune,4,Series B,4.72,Pe,Medium,Medium,11,40,0.3933333333333333,Mature,51.919999999999995,Yes
Healthtech,2015,Chennai,3,Seed,4.49,Vc,Small,Small,9,30,0.449,Mature,40.410000000000004,Yes
E-Commerce,2011,Delhi,1,Seed,16.31,Angel,Small,Medium,13,10,1.1649999999999998,Mature,212.02999999999997,No
Edtech,2012,Pune,4,Seed,13.36,Vc,Small,Medium,12,40,1.0276923076923077,Mature,160.32,Yes
Fintech,2012,Mumbai,4,Series A,7.29,Pe,Small,Medium,12,40,0.5607692307692308,Mature,87.48,Yes
Healthtech,2014,Chennai,3,Seed,19.44,Vc,Large,Large,10,30,1.7672727272727273,Mature,194.4,Yes
Healthtech,2014,Mumbai,3,Series A,17.82,Pe,Small,Large,10,30,1.62,Mature,178.2,Yes
Saas,2014,Pune,4,Series B,13.5,Angel,Large,Large,10,40,1.2272727272727273,Mature,135.0,Yes
Ai,2012,Pune,3,Series A,7.51,Angel,Medium,Large,12,30,0.5776923076923077,Mature,90.12,Yes
Edtech,2011,Hyderabad,3,Series A,6.31,Vc,Medium,Medium,13,30,0.4507142857142857,Mature,82.03,Yes
Fintech,2015,Bangalore,1,Series A,18.8,Angel,Large,Large,9,10,1.8800000000000001,Mature,169.20000000000002,No
Saas,2008,Hyderabad,2,Seed,8.98,Vc,Large,Large,16,20,0.5282352941176471,Mature,143.68,No
Ai,2008,Bangalore,4,Seed,16.04,Angel,Large,Large,16,40,0.9435294117647058,Mature,256.64,Yes
Saas,2013,Delhi,3,Series A,18.81,Vc,Medium,Large,11,30,1.5675,Mature,206.91,Yes
E-Commerce,2009,Chennai,2,Seed,9.94,Angel,Medium,Medium,15,20,0.62125,Mature,149.1,No
Ai,2019,Delhi,2,Series A,13.13,Vc,Small,Large,5,20,2.1883333333333335,Growth,65.65,No
Ai,2010,Bangalore,2,Seed,1.91,Pe,Small,Small,14,20,0.12733333333333333,Mature,26.74,No
Edtech,2011,Pune,3,Seed,13.12,Pe,Small,Medium,13,30,0.937142857142857,Mature,170.56,Yes
Ai,2021,Hyderabad,4,Series A,4.46,Vc,Small,Medium,3,40,1.115,Early,13.379999999999999,Yes
Saas,2023,Bangalore,4,Seed,13.48,Pe,Large,Large,1,40,6.74,Early,13.48,Yes
Ai,2009,Pune,3,Series B,2.2,Pe,Medium,Medium,15,30,0.1375,Mature,33.0,Yes
Edtech,2017,Delhi,3,Series B,10.01,Angel,Small,Large,7,30,1.25125,Growth,70.07,Yes
Edtech,2014,Pune,4,Series A,10.52,Pe,Small,Large,10,40,0.9563636363636363,Mature,105.19999999999999,Yes
E-Commerce,2022,Pune,4,Seed,9.77,Pe,Medium,Medium,2,40,3.2566666666666664,Early,19.54,Yes
Saas,2017,Delhi,4,Series B,15.18,Angel,Small,Large,7,40,1.8975,Growth,106.25999999999999,Yes
Healthtech,2008,Hyderabad,1,Series A,15.14,Angel,Large,Large,16,10,0.8905882352941177,Mature,242.24,No
Healthtech,2010,Pune,2,Seed,14.19,Vc,Small,Medium,14,20,0.946,Mature,198.66,No
Ai,2009,Hyderabad,1,Seed,12.71,Pe,Small,Medium,15,10,0.794375,Mature,190.65,No
E-Commerce,2020,Pune,1,Seed,18.11,Vc,Medium,Large,4,10,3.622,Growth,72.44,No
Fintech,2016,Pune,3,Seed,11.6,Angel,Small,Medium,8,30,1.2888888888888888,Mature,92.8,Yes
Ai,2023,Delhi,2,Seed,7.1,Vc,Large,Medium,1,20,3.55,Early,7.1,No
E-Commerce,2015,Bangalore,2,Series B,1.37,Angel,Small,Small,9,20,0.137,Mature,12.330000000000002,No
Saas,2010,Bangalore,4,Series A,10.81,Angel,Large,Large,14,40,0.7206666666666667,Mature,151.34,Yes
Saas,2012,Chennai,3,Series A,4.71,Vc,Medium,Medium,12,30,0.36230769230769233,Mature,56.519999999999996,Yes
Saas,2010,Delhi,3,Seed,7.86,Angel,Small,Medium,14,30,0.524,Mature,110.04,Yes
Saas,2021,Chennai,4,Seed,1.19,Vc,Small,Small,3,40,0.2975,Early,3.57,Yes
Saas,2018,Pune,4,Seed,12.89,Pe,Small,Medium,6,40,1.8414285714285714,Growth,77.34,Yes
E-Commerce,2020,Delhi,1,Series A,17.76,Vc,Large,Large,4,10,3.5520000000000005,Growth,71.04,No
E-Commerce,2019,Chennai,4,Series B,6.64,Pe,Small,Medium,5,40,1.1066666666666667,Growth,33.199999999999996,Yes
Edtech,2018,Mumbai,4,Series A,16.14,Pe,Large,Large,6,40,2.3057142857142856,Growth,96.84,Yes
Healthtech,2019,Bangalore,3,Series B,2.7,Angel,Medium,Medium,5,30,0.45,Growth,13.5,Yes
Saas,2018,Bangalore,1,Seed,14.52,Vc,Medium,Large,6,10,2.0742857142857143,Growth,87.12,No
Fintech,2013,Mumbai,2,Seed,1.78,Vc,Small,Small,11,20,0.14833333333333334,Mature,19.580000000000002,No
E-Commerce,2012,Hyderabad,1,Seed,5.32,Angel,Small,Small,12,10,0.40923076923076923,Mature,63.84,No
Fintech,2018,Mumbai,3,Seed,7.33,Pe,Small,Medium,6,30,1.0471428571428572,Growth,43.980000000000004,Yes
Fintech,2009,Bangalore,2,Series A,3.3,Pe,Large,Medium,15,20,0.20625,Mature,49.5,No
Fintech,2021,Delhi,1,Series B,3.85,Pe,Small,Medium,3,10,0.9625,Early,11.55,No
Edtech,2017,Chennai,4,Seed,14.04,Angel,Large,Large,7,40,1.755,Growth,98.28,Yes
E-Commerce,2023,Bangalore,1,Series B,2.1,Pe,Small,Small,1,10,1.05,Early,2.1,No
Fintech,2015,Mumbai,2,Seed,18.69,Vc,Large,Large,9,20,1.8690000000000002,Mature,168.21,No
Saas,2013,Delhi,1,Series A,15.41,Vc,Large,Large,11,10,1.2841666666666667,Mature,169.51,No
Ai,2021,Bangalore,1,Series A,7.26,Pe,Medium,Large,3,10,1.815,Early,21.78,No
Fintech,2022,Mumbai,1,Seed,12.65,Vc,Large,Large,2,10,4.216666666666667,Early,25.3,No
Edtech,2010,Bangalore,4,Series A,14.44,Angel,Small,Large,14,40,0.9626666666666667,Mature,202.16,Yes
E-Commerce,2020,Mumbai,3,Seed,11.97,Pe,Large,Large,4,30,2.394,Growth,47.88,Yes
Edtech,2022,Pune,3,Seed,12.44,Vc,Medium,Large,2,30,4.1466666666666665,Early,24.88,Yes
Fintech,2020,Mumbai,3,Series A,18.34,Vc,Small,Large,4,30,3.668,Growth,73.36,Yes
E-Commerce,2008,Bangalore,1,Seed,17.65,Angel,Large,Large,16,10,1.038235294117647,Mature,282.4,No
Ai,2012,Delhi,2,Series B,18.29,Angel,Medium,Large,12,20,1.406923076923077,Mature,219.48,No
Fintech,2019,Bangalore,1,Series B,17.73,Angel,Large,Large,5,10,2.955,Growth,88.65,No
Edtech,2018,Bangalore,1,Seed,13.77,Vc,Medium,Large,6,10,1.967142857142857,Growth,82.62,No
Healthtech,2009,Pune,3,Seed,9.94,Pe,Large,Large,15,30,0.62125,Mature,149.1,Yes
Saas,2020,Delhi,3,Seed,9.85,Pe,Medium,Medium,4,30,1.97,Growth,39.4,Yes
Edtech,2009,Pune,4,Seed,15.48,Vc,Small,Medium,15,40,0.9675,Mature,232.20000000000002,Yes
E-Commerce,2016,Bangalore,1,Series A,18.49,Pe,Medium,Large,8,10,2.054444444444444,Mature,147.92,No
Fintech,2018,Pune,4,Seed,1.94,Vc,Large,Small,6,40,0.27714285714285714,Growth,11.64,Yes
Saas,2020,Chennai,4,Series B,17.56,Pe,Large,Large,4,40,3.5119999999999996,Growth,70.24,Yes
Fintech,2022,Chennai,4,Seed,17.02,Vc,Medium,Large,2,40,5.673333333333333,Early,34.04,Yes
E-Commerce,2017,Chennai,3,Seed,1.93,Vc,Large,Small,7,30,0.24125,Growth,13.51,Yes
Fintech,2014,Mumbai,4,Series A,13.2,Vc,Medium,Large,10,40,1.2,Mature,132.0,Yes
Healthtech,2013,Hyderabad,1,Series A,19.44,Vc,Small,Large,11,10,1.62,Mature,213.84,No
Saas,2022,Pune,4,Series B,17.06,Vc,Small,Large,2,40,5.6866666666666665,Early,34.12,Yes
Saas,2020,Bangalore,3,Series A,1.44,Angel,Small,Small,4,30,0.288,Growth,5.76,Yes
E-Commerce,2008,Hyderabad,1,Seed,18.52,Pe,Medium,Large,16,10,1.0894117647058823,Mature,296.32,No
Healthtech,2022,Pune,1,Series B,3.63,Angel,Small,Medium,2,10,1.21,Early,7.26,No
Edtech,2021,Chennai,2,Seed,1.64,Pe,Small,Small,3,20,0.41,Early,4.92,No
Fintech,2017,Delhi,3,Series A,4.71,Vc,Small,Medium,7,30,0.58875,Growth,32.97,Yes
Ai,2009,Chennai,2,Seed,9.77,Vc,Medium,Medium,15,20,0.610625,Mature,146.54999999999998,No
Fintech,2018,Bangalore,3,Seed,16.34,Pe,Medium,Large,6,30,2.334285714285714,Growth,98.03999999999999,Yes
Fintech,2014,Hyderabad,3,Series A,5.49,Pe,Large,Large,10,30,0.4990909090909091,Mature,54.900000000000006,Yes
Edtech,2022,Hyderabad,3,Seed,7.93,Pe,Large,Medium,2,30,2.643333333333333,Early,15.86,Yes
Fintech,2010,Pune,2,Seed,2.99,Pe,Large,Small,14,20,0.19933333333333333,Mature,41.86,No
Healthtech,2009,Mumbai,4,Series A,5.97,Vc,Medium,Medium,15,40,0.373125,Mature,89.55,Yes
Healthtech,2013,Delhi,3,Seed,18.06,Vc,Small,Large,11,30,1.505,Mature,198.66,Yes
Saas,2015,Chennai,1,Seed,13.68,Vc,Large,Large,9,10,1.3679999999999999,Mature,123.12,No
E-Commerce,2022,Delhi,1,Seed,13.54,Vc,Medium,Large,2,10,4.513333333333333,Early,27.08,No
Ai,2015,Bangalore,3,Series A,5.15,Angel,Medium,Medium,9,30,0.515,Mature,46.35,Yes
Fintech,2018,Mumbai,3,Seed,3.1,Vc,Medium,Small,6,30,0.4428571428571429,Growth,18.6,Yes
Fintech,2023,Chennai,3,Series A,17.77,Pe,Large,Large,1,30,8.885,Early,17.77,Yes
Edtech,2009,Bangalore,4,Seed,18.88,Angel,Large,Large,15,40,1.18,Mature,283.2,Yes
E-Commerce,2013,Delhi,3,Seed,1.26,Pe,Large,Small,11,30,0.105,Mature,13.86,Yes
Healthtech,2019,Mumbai,4,Seed,10.7,Angel,Medium,Medium,5,40,1.7833333333333332,Growth,53.5,Yes
Ai,2012,Chennai,4,Series A,8.91,Angel,Large,Large,12,40,0.6853846153846154,Mature,106.92,Yes
Saas,2014,Delhi,3,Seed,14.82,Pe,Medium,Large,10,30,1.3472727272727274,Mature,148.2,Yes
Healthtech,2011,Chennai,3,Seed,6.18,Angel,Medium,Medium,13,30,0.4414285714285714,Mature,80.34,Yes
E-Commerce,2019,Mumbai,4,Seed,12.49,Vc,Small,Medium,5,40,2.0816666666666666,Growth,62.45,Yes
Saas,2020,Mumbai,2,Series A,1.84,Angel,Medium,Small,4,20,0.368,Growth,7.36,No
Edtech,2009,Delhi,4,Series A,16.49,Vc,Small,Large,15,40,1.030625,Mature,247.34999999999997,Yes
Edtech,2023,Chennai,1,Seed,4.93,Angel,Small,Small,1,10,2.465,Early,4.93,No
Fintech,2017,Hyderabad,3,Seed,6.42,Pe,Large,Medium,7,30,0.8025,Growth,44.94,Yes
E-Commerce,2010,Bangalore,2,Series A,7.69,Angel,Large,Large,14,20,0.5126666666666667,Mature,107.66000000000001,No
Ai,2016,Mumbai,2,Series B,4.29,Angel,Medium,Medium,8,20,0.4766666666666667,Mature,34.32,No
Saas,2017,Chennai,3,Seed,16.22,Angel,Large,Large,7,30,2.0275,Growth,113.53999999999999,Yes
Healthtech,2015,Delhi,2,Series A,1.56,Angel,Small,Small,9,20,0.156,Mature,14.040000000000001,No
E-Commerce,2020,Delhi,1,Series A,18.68,Angel,Medium,Large,4,10,3.7359999999999998,Growth,74.72,No
E-Commerce,2016,Mumbai,3,Seed,18.63,Angel,Small,Large,8,30,2.07,Mature,149.04,Yes
Edtech,2012,Pune,4,Seed,16.58,Pe,Large,Large,12,40,1.2753846153846153,Mature,198.95999999999998,Yes
Fintech,2020,Mumbai,3,Seed,19.05,Vc,Medium,Large,4,30,3.81,Growth,76.2,Yes
