industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age
E-Commerce,2009,Chennai,4,Series A,16.38,Angel,Medium,Large,15
E-Commerce,2021,Pune,2,Seed,15.11,Angel,Small,Medium,3
Edtech,2020,Mumbai,3,Series B,19.5,Angel,Small,Large,4
Saas,2023,Bangalore,1,Seed,1.99,Pe,Small,Small,1
Saas,2020,Hyderabad,1,Series A,1.79,Pe,Small,Small,4
Fintech,2014,Bangalore,3,Seed,18.17,Angel,Medium,Large,10
Edtech,2017,Chennai,4,Series B,19.12,Vc,Medium,Large,7
Ai,2022,Bangalore,3,Series A,8.25,Angel,Small,Medium,2
Edtech,2014,Pune,4,Seed,9.23,Pe,Medium,Medium,10
Ai,2011,Mumbai,2,Seed,7.5,Angel,Small,Medium,13
Fintech,2019,Bangalore,4,Seed,15.6,Vc,Large,Large,5
Healthtech,2017,Mumbai,1,Seed,15.46,Vc,Large,Large,7
Saas,2009,Chennai,1,Seed,4.56,Pe,Large,Medium,15
Fintech,2011,Bangalore,4,Seed,7.8,Vc,Small,Medium,13
Saas,2011,Bangalore,1,Seed,4.41,Angel,Large,Medium,13
E-Commerce,2019,Chennai,3,Seed,1.12,Angel,Small,Small,5
Healthtech,2019,Pune,4,Series A,1.31,Angel,Small,Small,5
Healthtech,2013,Bangalore,3,Seed,3.11,Angel,Medium,Small,11
Fintech,2021,Mumbai,1,Seed,0.79,Pe,Small,Small,3
Healthtech,2014,Pune,3,Series A,8.58,Vc,Large,Large,10
Ai,2010,Delhi,4,Seed,1.47,Vc,Large,Small,14
Healthtech,2022,Pune,3,Seed,16.98,Vc,Large,Large,2
Saas,2017,Delhi,3,Series A,14.3,Angel,Small,Large,7
Saas,2008,Mumbai,1,Seed,15.72,Angel,Medium,Large,16
Saas,2010,Bangalore,1,Seed,12.43,Angel,Medium,Large,14
Saas,2016,Mumbai,4,Series A,13.34,Angel,Medium,Large,8
Ai,2008,Chennai,4,Series B,2.45,Angel,Large,Medium,16
Edtech,2020,Mumbai,1,Series A,1.35,Vc,Small,Small,4
E-Commerce,2015,Delhi,2,Seed,19.79,Vc,Medium,Large,9
Fintech,2009,Pune,1,Seed,7.58,Angel,Small,Medium,15
Saas,2013,Hyderabad,2,Series A,1.22,Vc,Medium,Small,11
Healthtech,2010,Chennai,3,Series B,3.36,Angel,Medium,Medium,14
Saas,2014,Bangalore,4,Seed,17.51,Vc,Medium,Large,10
Healthtech,2009,Pune,3,Series B,4.27,Pe,Small,Medium,15
E-Commerce,2011,Mumbai,3,Series A,9.45,Vc,Medium,Large,13
E-Commerce,2017,Chennai,1,Series B,13.42,Angel,Small,Large,7
E-Commerce,2016,Delhi,4,Seed,19.32,Pe,Medium,Large,8
Healthtech,2013,Bangalore,2,Seed,0.48,Angel,Small,Small,11
Saas,2011,Mumbai,1,Seed,9.85,Vc,Large,Large,13
E-Commerce,2009,Pune,1,Series A,19.92,Pe,Medium,Large,15
Ai,2017,Mumbai,3,Series A,2.61,Pe,Medium,Small,7
Healthtech,2021,Bangalore,2,Series B,2.65,Angel,Small,Small,3
Healthtech,2016,Pune,1,Series A,1.92,Vc,Large,Small,8
Saas,2022,Hyderabad,4,Seed,10.26,Vc,Large,Large,2
Healthtech,2011,Hyderabad,2,Seed,7.1,Pe,Medium,Medium,13
Healthtech,2016,Chennai,1,Seed,14.38,Vc,Large,Large,8
E-Commerce,2021,Mumbai,3,Series B,11.51,Angel,Medium,Large,3
Saas,2009,Chennai,1,Seed,11.7,Angel,Medium,Medium,15
E-Commerce,2014,Bangalore,2,Series A,10.32,Pe,Medium,Large,10
E-Commerce,2018,Pune,3,Seed,19.84,Angel,Medium,Large,6
Saas,2018,Chennai,1,Series A,10.87,Vc,Small,Large,6
Fintech,2012,Mumbai,2,Seed,1.63,Pe,Small,Small,12
E-Commerce,2015,Hyderabad,2,Series A,6.58,Vc,Medium,Medium,9
Ai,2018,Hyderabad,3,Series B,15.66,Angel,Medium,Large,6
Ai,2021,Bangalore,3,Seed,12.64,Pe,Medium,Large,3
Healthtech,2015,Delhi,4,Series A,13.74,Angel,Small,Large,9
Ai,2021,Chennai,4,Series B,18.45,Vc,Small,Large,3
Healthtech,2021,Bangalore,1,Seed,8.99,Pe,Small,Medium,3
Fintech,2011,Hyderabad,4,Seed,0.59,Angel,Large,Small,13
Saas,2020,Mumbai,4,Seed,19.8,Angel,Small,Large,4
Saas,2011,Mumbai,3,Series B,9.2,Pe,Medium,Large,13
Saas,2022,Pune,1,Series A,2.13,Pe,Large,Medium,2
Ai,2015,Delhi,2,Series A,11.06,Pe,Medium,Large,9
Fintech,2010,Delhi,3,Seed,11.89,Vc,Small,Medium,14
Ai,2014,Hyderabad,2,Series B,11.37,Vc,Large,Large,10
Ai,2015,Delhi,4,Seed,19.31,Angel,Large,Large,9
Fintech,2015,Delhi,4,Seed,6.53,Angel,Large,Medium,9
Fintech,2018,Mumbai,4,Seed,0.88,Angel,Large,Small,6
Fintech,2017,Pune,2,Seed,18.41,Vc,Large,Large,7
Fintech,2011,Chennai,1,Seed,3.99,Vc,Medium,Small,13
Saas,2016,Mumbai,3,Series A,15.04,Pe,Small,Large,8
Edtech,2022,Pune,4,Series B,4.24,Angel,Large,Large,2
Edtech,2017,Mumbai,4,Seed,16.61,Vc,Large,Large,7
Fintech,2011,Hyderabad,1,Seed,18.15,Vc,Large,Large,13
Edtech,2015,Pune,3,Seed,2.29,Vc,Large,Small,9
Edtech,2013,Pune,1,Seed,3.12,Angel,Medium,Small,11
Fintech,2012,Hyderabad,1,Series A,18.52,Vc,Medium,Large,12
Edtech,2022,Pune,4,Seed,15.46,Angel,Medium,Large,2
Ai,2011,Chennai,4,Seed,0.97,Vc,Medium,Small,13
Healthtech,2012,Bangalore,1,Seed,3.81,Angel,Medium,Small,12
Healthtech,2022,Delhi,2,Seed,8.36,Pe,Large,Large,2
Fintech,2020,Pune,4,Seed,17.31,Vc,Medium,Large,4
Saas,2022,Delhi,3,Seed,3.19,Angel,Medium,Small,2
Fintech,2018,Mumbai,4,Series A,14.54,Vc,Large,Large,6
Saas,2008,Mumbai,2,Seed,1.86,Angel,Small,Small,16
Healthtech,2014,Pune,2,Series B,9.45,Angel,Small,Large,10
Fintech,2015,Pune,1,Seed,14.63,Angel,Large,Large,9
E-Commerce,2019,Pune,1,Series A,1.48,Angel,Large,Small,5
Ai,2016,Chennai,2,Seed,4.24,Pe,Small,Small,8
Edtech,2020,Pune,3,Seed,15.88,Vc,Large,Large,4
Saas,2010,Delhi,1,Seed,3.44,Vc,Large,Medium,14
E-Commerce,2022,Mumbai,2,Seed,13.42,Angel,Medium,Large,2
Edtech,2016,Mumbai,3,Seed,12.92,Pe,Medium,Large,8
Edtech,2017,Pune,3,Series A,10.5,Angel,Medium,Large,7
Fintech,2012,Hyderabad,2,Seed,4.19,Angel,Small,Small,12
Edtech,2017,Bangalore,2,Series A,8.46,Angel,Large,Large,7
Ai,2013,Pune,3,Seed,12.51,Angel,Large,Large,11
E-Commerce,2008,Chennai,3,Seed,17.66,Vc,Small,Large,16
Edtech,2016,Bangalore,2,Seed,16.0,Vc,Large,Large,8
Fintech,2016,Bangalore,2,Series A,12.23,Angel,Small,Large,8
Ai,2013,Pune,4,Series B,4.72,Pe,Medium,Medium,11
Healthtech,2015,Chennai,3,Seed,4.49,Vc,Small,Small,9
E-Commerce,2011,Delhi,1,Seed,16.31,Angel,Small,Medium,13
Edtech,2012,Pune,4,Seed,13.36,Vc,Small,Medium,12
Fintech,2012,Mumbai,4,Series A,7.29,Pe,Small,Medium,12
Healthtech,2014,Chennai,3,Seed,19.44,Vc,Large,Large,10
Healthtech,2014,Mumbai,3,Series A,17.82,Pe,Small,Large,10
Saas,2014,Pune,4,Series B,13.5,Angel,Large,Large,10
Ai,2012,Pune,3,Series A,7.51,Angel,Medium,Large,12
Edtech,2011,Hyderabad,3,Series A,6.31,Vc,Medium,Medium,13
Fintech,2015,Bangalore,1,Series A,18.8,Angel,Large,Large,9
Saas,2008,Hyderabad,2,Seed,8.98,Vc,Large,Large,16
Ai,2008,Bangalore,4,Seed,16.04,Angel,Large,Large,16
Saas,2013,Delhi,3,Series A,18.81,Vc,Medium,Large,11
E-Commerce,2009,Chennai,2,Seed,9.94,Angel,Medium,Medium,15
Ai,2019,Delhi,2,Series A,13.13,Vc,Small,Large,5
Ai,2010,Bangalore,2,Seed,1.91,Pe,Small,Small,14
Edtech,2011,Pune,3,Seed,13.12,Pe,Small,Medium,13
Ai,2021,Hyderabad,4,Series A,4.46,Vc,Small,Medium,3
Saas,2023,Bangalore,4,Seed,13.48,Pe,Large,Large,1
Ai,2009,Pune,3,Series B,2.2,Pe,Medium,Medium,15
Edtech,2017,Delhi,3,Series B,10.01,Angel,Small,Large,7
Edtech,2014,Pune,4,Series A,10.52,Pe,Small,Large,10
E-Commerce,2022,Pune,4,Seed,9.77,Pe,Medium,Medium,2
Saas,2017,Delhi,4,Series B,15.18,Angel,Small,Large,7
Healthtech,2008,Hyderabad,1,Series A,15.14,Angel,Large,Large,16
Healthtech,2010,Pune,2,Seed,14.19,Vc,Small,Medium,14
Ai,2009,Hyderabad,1,Seed,12.71,Pe,Small,Medium,15
E-Commerce,2020,Pune,1,Seed,18.11,Vc,Medium,Large,4
Fintech,2016,Pune,3,Seed,11.6,Angel,Small,Medium,8
Ai,2023,Delhi,2,Seed,7.1,Vc,Large,Medium,1
E-Commerce,2015,Bangalore,2,Series B,1.37,Angel,Small,Small,9
Saas,2010,Bangalore,4,Series A,10.81,Angel,Large,Large,14
Saas,2012,Chennai,3,Series A,4.71,Vc,Medium,Medium,12
Saas,2010,Delhi,3,Seed,7.86,Angel,Small,Medium,14
Saas,2021,Chennai,4,Seed,1.19,Vc,Small,Small,3
Saas,2018,Pune,4,Seed,12.89,Pe,Small,Medium,6
E-Commerce,2020,Delhi,1,Series A,17.76,Vc,Large,Large,4
E-Commerce,2019,Chennai,4,Series B,6.64,Pe,Small,Medium,5
Edtech,2018,Mumbai,4,Series A,16.14,Pe,Large,Large,6
Healthtech,2019,Bangalore,3,Series B,2.7,Angel,Medium,Medium,5
Saas,2018,Bangalore,1,Seed,14.52,Vc,Medium,Large,6
Fintech,2013,Mumbai,2,Seed,1.78,Vc,Small,Small,11
E-Commerce,2012,Hyderabad,1,Seed,5.32,Angel,Small,Small,12
Fintech,2018,Mumbai,3,Seed,7.33,Pe,Small,Medium,6
Fintech,2009,Bangalore,2,Series A,3.3,Pe,Large,Medium,15
Fintech,2021,Delhi,1,Series B,3.85,Pe,Small,Medium,3
Edtech,2017,Chennai,4,Seed,14.04,Angel,Large,Large,7
E-Commerce,2023,Bangalore,1,Series B,2.1,Pe,Small,Small,1
Fintech,2015,Mumbai,2,Seed,18.69,Vc,Large,Large,9
Saas,2013,Delhi,1,Series A,15.41,Vc,Large,Large,11
Ai,2021,Bangalore,1,Series A,7.26,Pe,Medium,Large,3
Fintech,2022,Mumbai,1,Seed,12.65,Vc,Large,Large,2
Edtech,2010,Bangalore,4,Series A,14.44,Angel,Small,Large,14
E-Commerce,2020,Mumbai,3,Seed,11.97,Pe,Large,Large,4
Edtech,2022,Pune,3,Seed,12.44,Vc,Medium,Large,2
Fintech,2020,Mumbai,3,Series A,18.34,Vc,Small,Large,4
E-Commerce,2008,Bangalore,1,Seed,17.65,Angel,Large,Large,16
Ai,2012,Delhi,2,Series B,18.29,Angel,Medium,Large,12
Fintech,2019,Bangalore,1,Series B,17.73,Angel,Large,Large,5
Edtech,2018,Bangalore,1,Seed,13.77,Vc,Medium,Large,6
Healthtech,2009,Pune,3,Seed,9.94,Pe,Large,Large,15
Saas,2020,Delhi,3,Seed,9.85,Pe,Medium,Medium,4
Edtech,2009,Pune,4,Seed,15.48,Vc,Small,Medium,15
E-Commerce,2016,Bangalore,1,Series A,18.49,Pe,Medium,Large,8
Fintech,2018,Pune,4,Seed,1.94,Vc,Large,Small,6
Saas,2020,Chennai,4,Series B,17.56,Pe,Large,Large,4
Fintech,2022,Chennai,4,Seed,17.02,Vc,Medium,Large,2
E-Commerce,2017,Chennai,3,Seed,1.93,Vc,Large,Small,7
Fintech,2014,Mumbai,4,Series A,13.2,Vc,Medium,Large,10
Healthtech,2013,Hyderabad,1,Series A,19.44,Vc,Small,Large,11
Saas,2022,Pune,4,Series B,17.06,Vc,Small,Large,2
Saas,2020,Bangalore,3,Series A,1.44,Angel,Small,Small,4
E-Commerce,2008,Hyderabad,1,Seed,18.52,Pe,Medium,Large,16
Healthtech,2022,Pune,1,Series B,3.63,Angel,Small,Medium,2
Edtech,2021,Chennai,2,Seed,1.64,Pe,Small,Small,3
Fintech,2017,Delhi,3,Series A,4.71,Vc,Small,Medium,7
Ai,2009,Chennai,2,Seed,9.77,Vc,Medium,Medium,15
Fintech,2018,Bangalore,3,Seed,16.34,Pe,Medium,Large,6
Fintech,2014,Hyderabad,3,Series A,5.49,Pe,Large,Large,10
Edtech,2022,Hyderabad,3,Seed,7.93,Pe,Large,Medium,2
Fintech,2010,Pune,2,Seed,2.99,Pe,Large,Small,14
Healthtech,2009,Mumbai,4,Series A,5.97,Vc,Medium,Medium,15
Healthtech,2013,Delhi,3,Seed,18.06,Vc,Small,Large,11
Saas,2015,Chennai,1,Seed,13.68,Vc,Large,Large,9
E-Commerce,2022,Delhi,1,Seed,13.54,Vc,Medium,Large,2
Ai,2015,Bangalore,3,Series A,5.15,Angel,Medium,Medium,9
Fintech,2018,Mumbai,3,Seed,3.1,Vc,Medium,Small,6
Fintech,2023,Chennai,3,Series A,17.77,Pe,Large,Large,1
Edtech,2009,Bangalore,4,Seed,18.88,Angel,Large,Large,15
E-Commerce,2013,Delhi,3,Seed,1.26,Pe,Large,Small,11
Healthtech,2019,Mumbai,4,Seed,10.7,Angel,Medium,Medium,5
Ai,2012,Chennai,4,Series A,8.91,Angel,Large,Large,12
Saas,2014,Delhi,3,Seed,14.82,Pe,Medium,Large,10
Healthtech,2011,Chennai,3,Seed,6.18,Angel,Medium,Medium,13
E-Commerce,2019,Mumbai,4,Seed,12.49,Vc,Small,Medium,5
Saas,2020,Mumbai,2,Series A,1.84,Angel,Medium,Small,4
Edtech,2009,Delhi,4,Series A,16.49,Vc,Small,Large,15
Edtech,2023,Chennai,1,Seed,4.93,Angel,Small,Small,1
Fintech,2017,Hyderabad,3,Seed,6.42,Pe,Large,Medium,7
E-Commerce,2010,Bangalore,2,Series A,7.69,Angel,Large,Large,14
Ai,2016,Mumbai,2,Series B,4.29,Angel,Medium,Medium,8
Saas,2017,Chennai,3,Seed,16.22,Angel,Large,Large,7
Healthtech,2015,Delhi,2,Series A,1.56,Angel,Small,Small,9
E-Commerce,2020,Delhi,1,Series A,18.68,Angel,Medium,Large,4
E-Commerce,2016,Mumbai,3,Seed,18.63,Angel,Small,Large,8
Edtech,2012,Pune,4,Seed,16.58,Pe,Large,Large,12
Fintech,2020,Mumbai,3,Seed,19.05,Vc,Medium,Large,4
Fintech,2012,Pune,1,Series B,15.27,Pe,Large,Large,12
Saas,2014,Hyderabad,2,Series A,11.34,Pe,Large,Large,10
Edtech,2014,Delhi,3,Seed,14.49,Vc,Large,Large,10
E-Commerce,2008,Chennai,1,Seed,0.28,Pe,Large,Small,16
Ai,2019,Pune,4,Series A,13.77,Vc,Medium,Large,5
Edtech,2023,Bangalore,1,Seed,1.03,Angel,Medium,Small,1
Saas,2022,Bangalore,3,Seed,17.78,Angel,Large,Large,2
Saas,2021,Hyderabad,1,Series A,17.95,Vc,Small,Large,3
Edtech,2012,Pune,4,Seed,2.46,Vc,Medium,Small,12
Saas,2015,Pune,3,Seed,13.66,Angel,Large,Large,9
Edtech,2014,Chennai,2,Series A,13.43,Vc,Medium,Large,10
Healthtech,2018,Bangalore,3,Series A,10.06,Pe,Large,Large,6
Edtech,2009,Bangalore,4,Series A,0.7,Vc,Large,Small,15
Edtech,2021,Chennai,4,Series A,2.46,Pe,Small,Small,3
Saas,2015,Pune,3,Seed,13.25,Pe,Small,Medium,9
Saas,2009,Chennai,4,Seed,10.69,Angel,Medium,Medium,15
Fintech,2017,Mumbai,1,Seed,1.12,Angel,Medium,Small,7
Fintech,2008,Bangalore,1,Seed,10.45,Pe,Small,Medium,16
Healthtech,2018,Pune,2,Series B,17.01,Angel,Large,Large,6
Fintech,2018,Bangalore,3,Seed,17.83,Angel,Large,Large,6
Edtech,2021,Hyderabad,2,Seed,14.0,Pe,Medium,Large,3
Saas,2018,Mumbai,1,Seed,13.32,Pe,Large,Large,6
Fintech,2010,Mumbai,2,Seed,15.43,Vc,Large,Large,14
Fintech,2023,Bangalore,4,Seed,2.84,Angel,Small,Small,1
Healthtech,2010,Delhi,3,Seed,3.97,Pe,Medium,Small,14
E-Commerce,2013,Delhi,3,Seed,9.82,Vc,Medium,Medium,11
Healthtech,2019,Chennai,3,Seed,9.13,Angel,Small,Medium,5
Edtech,2010,Mumbai,1,Series A,3.85,Angel,Medium,Medium,14
Saas,2014,Bangalore,4,Series A,13.63,Angel,Large,Large,10
Healthtech,2023,Pune,1,Seed,14.87,Angel,Medium,Large,1
Fintech,2015,Bangalore,4,Series A,5.56,Pe,Small,Medium,9
Saas,2010,Bangalore,4,Seed,6.4,Vc,Small,Small,14
Saas,2016,Pune,3,Seed,5.3,Vc,Large,Medium,8
Fintech,2008,Pune,1,Series A,5.72,Pe,Large,Large,16
Healthtech,2022,Hyderabad,2,Series B,7.42,Pe,Medium,Large,2
Fintech,2010,Delhi,2,Seed,8.93,Angel,Large,Large,14
E-Commerce,2019,Hyderabad,3,Series A,9.79,Vc,Large,Large,5
Saas,2023,Bangalore,1,Series A,9.8,Pe,Small,Medium,1
Ai,2010,Bangalore,4,Series A,12.42,Pe,Small,Large,14
Ai,2014,Mumbai,3,Seed,7.01,Vc,Large,Medium,10
Edtech,2018,Mumbai,2,Series A,10.17,Vc,Small,Large,6
Fintech,2018,Delhi,2,Seed,10.22,Vc,Medium,Medium,6
Fintech,2012,Pune,4,Seed,2.11,Angel,Medium,Small,12
Edtech,2011,Chennai,1,Series A,12.66,Vc,Medium,Large,13
Edtech,2009,Bangalore,2,Series A,5.71,Vc,Small,Medium,15
Edtech,2014,Mumbai,1,Series B,1.13,Vc,Large,Small,10
Saas,2010,Delhi,1,Seed,13.01,Pe,Large,Large,14
E-Commerce,2014,Hyderabad,2,Seed,1.16,Vc,Large,Small,10
Fintech,2017,Bangalore,2,Seed,8.95,Vc,Small,Medium,7
Saas,2019,Chennai,3,Seed,12.5,Angel,Large,Large,5
Edtech,2023,Delhi,1,Seed,19.97,Pe,Medium,Large,1
Fintech,2014,Pune,3,Series A,10.4,Vc,Large,Large,10
Saas,2018,Chennai,1,Seed,6.5,Vc,Large,Medium,6
E-Commerce,2023,Bangalore,2,Series A,9.94,Angel,Large,Large,1
Saas,2009,Delhi,1,Seed,4.07,Angel,Small,Small,15
E-Commerce,2014,Pune,3,Series A,8.87,Vc,Large,Large,10
Edtech,2013,Mumbai,1,Series A,17.49,Vc,Small,Large,11
E-Commerce,2017,Chennai,2,Seed,2.9,Angel,Medium,Small,7
Fintech,2011,Hyderabad,3,Seed,10.7,Angel,Small,Medium,13
Edtech,2018,Hyderabad,1,Series A,12.49,Vc,Large,Large,6
Fintech,2012,Chennai,1,Series A,6.4,Vc,Large,Large,12
Ai,2019,Bangalore,1,Seed,14.77,Angel,Large,Large,5
Healthtech,2015,Bangalore,1,Seed,13.34,Pe,Medium,Large,9
E-Commerce,2012,Bangalore,4,Series B,9.39,Angel,Medium,Large,12
Healthtech,2010,Hyderabad,1,Series A,12.87,Vc,Medium,Large,14
Healthtech,2009,Hyderabad,2,Series A,16.84,Vc,Medium,Large,15
E-Commerce,2013,Mumbai,2,Seed,12.09,Pe,Medium,Large,11
Edtech,2013,Bangalore,3,Series A,11.46,Angel,Large,Large,11
Ai,2014,Hyderabad,1,Series B,12.5,Angel,Small,Large,10
Fintech,2015,Hyderabad,4,Series A,13.58,Vc,Large,Large,9
Saas,2011,Bangalore,4,Seed,8.18,Angel,Small,Medium,13
Fintech,2019,Bangalore,2,Series B,16.77,Pe,Small,Large,5
Saas,2015,Hyderabad,4,Series A,18.49,Pe,Large,Large,9
Fintech,2019,Pune,2,Seed,12.51,Angel,Small,Medium,5
E-Commerce,2008,Chennai,1,Series A,17.76,Pe,Small,Large,16
Ai,2013,Hyderabad,3,Seed,14.94,Angel,Medium,Large,11
Saas,2013,Mumbai,1,Series A,8.57,Vc,Large,Large,11
Edtech,2010,Delhi,4,Series A,10.02,Vc,Small,Medium,14
Fintech,2016,Pune,3,Series A,11.49,Vc,Medium,Large,8
Fintech,2019,Bangalore,3,Seed,18.79,Angel,Medium,Large,5
Saas,2019,Mumbai,2,Series B,13.03,Vc,Large,Large,5
Edtech,2023,Chennai,3,Series B,10.27,Vc,Small,Large,1
Edtech,2012,Delhi,2,Seed,2.64,Vc,Medium,Small,12
E-Commerce,2022,Pune,4,Seed,13.4,Angel,Medium,Large,2
E-Commerce,2008,Hyderabad,2,Series B,11.18,Pe,Medium,Large,16
E-Commerce,2014,Bangalore,1,Seed,18.81,Angel,Medium,Large,10
E-Commerce,2017,Hyderabad,4,Seed,6.97,Angel,Small,Small,7
E-Commerce,2022,Mumbai,1,Seed,15.95,Vc,Large,Large,2
E-Commerce,2021,Bangalore,4,Seed,5.79,Pe,Small,Small,3
Ai,2010,Hyderabad,3,Seed,3.6,Pe,Small,Small,14
Edtech,2017,Bangalore,4,Series A,0.44,Pe,Medium,Small,7
E-Commerce,2017,Mumbai,1,Seed,17.93,Pe,Small,Large,7
Edtech,2023,Hyderabad,4,Series A,9.0,Angel,Medium,Large,1
Edtech,2018,Delhi,1,Seed,5.77,Vc,Large,Medium,6
Healthtech,2011,Chennai,3,Seed,8.18,Pe,Small,Medium,13
Ai,2013,Hyderabad,1,Series A,14.29,Vc,Medium,Large,11
E-Commerce,2015,Bangalore,2,Series A,7.99,Vc,Large,Large,9
Fintech,2020,Pune,4,Series A,4.67,Pe,Large,Medium,4
Saas,2011,Hyderabad,1,Seed,1.94,Pe,Large,Small,13
Fintech,2022,Bangalore,1,Seed,12.51,Angel,Small,Medium,2
Ai,2019,Pune,1,Seed,19.46,Angel,Medium,Large,5
Saas,2016,Mumbai,2,Series A,12.77,Angel,Large,Large,8
Ai,2015,Pune,3,Seed,18.95,Pe,Small,Large,9
Edtech,2017,Chennai,2,Series B,17.58,Vc,Medium,Large,7
Saas,2017,Bangalore,3,Series A,3.29,Vc,Large,Medium,7
Edtech,2013,Hyderabad,2,Seed,17.61,Pe,Medium,Large,11
Fintech,2014,Pune,1,Series B,0.22,Vc,Medium,Small,10
Fintech,2015,Mumbai,2,Seed,10.29,Pe,Small,Medium,9
Saas,2009,Pune,4,Seed,10.55,Vc,Small,Medium,15
Saas,2023,Delhi,3,Series A,14.59,Angel,Large,Large,1
E-Commerce,2012,Hyderabad,1,Seed,15.17,Angel,Small,Medium,12
Ai,2020,Chennai,3,Seed,4.79,Vc,Small,Small,4
E-Commerce,2014,Mumbai,1,Seed,17.66,Vc,Medium,Large,10
Ai,2015,Hyderabad,1,Series A,3.75,Angel,Large,Medium,9
E-Commerce,2012,Bangalore,4,Seed,19.24,Pe,Small,Large,12
Edtech,2010,Bangalore,2,Series A,19.71,Angel,Large,Large,14
Saas,2022,Bangalore,4,Seed,14.0,Angel,Medium,Large,2
Fintech,2013,Hyderabad,3,Series A,13.04,Pe,Medium,Large,11
Ai,2012,Chennai,2,Seed,19.59,Angel,Medium,Large,12
Ai,2015,Bangalore,3,Series B,4.99,Angel,Small,Medium,9
Fintech,2016,Hyderabad,2,Series B,12.92,Angel,Small,Large,8
E-Commerce,2016,Hyderabad,4,Series B,8.24,Pe,Large,Large,8
Ai,2019,Chennai,1,Seed,3.52,Vc,Large,Medium,5
Edtech,2019,Mumbai,3,Seed,2.73,Angel,Medium,Small,5
Saas,2013,Mumbai,3,Seed,14.07,Pe,Large,Large,11
Fintech,2022,Hyderabad,4,Series A,4.73,Pe,Large,Large,2
Saas,2011,Mumbai,4,Seed,12.07,Vc,Large,Large,13
Ai,2011,Delhi,2,Series A,4.9,Angel,Small,Medium,13
Ai,2016,Chennai,3,Series A,9.19,Angel,Medium,Large,8
Fintech,2011,Hyderabad,4,Seed,14.9,Vc,Small,Medium,13
Edtech,2015,Mumbai,2,Series A,10.66,Vc,Large,Large,9
Healthtech,2016,Pune,2,Seed,17.46,Vc,Large,Large,8
Fintech,2012,Mumbai,3,Seed,10.62,Vc,Large,Large,12
Healthtech,2020,Chennai,2,Seed,4.05,Vc,Large,Medium,4
E-Commerce,2013,Pune,4,Seed,17.96,Vc,Medium,Large,11
Healthtech,2010,Bangalore,4,Seed,8.47,Vc,Small,Medium,14
Edtech,2019,Mumbai,4,Series A,17.38,Angel,Small,Large,5
E-Commerce,2012,Pune,3,Series B,4.8,Vc,Large,Large,12
Healthtech,2012,Chennai,4,Series A,12.8,Pe,Large,Large,12
E-Commerce,2022,Pune,1,Seed,3.47,Pe,Small,Small,2
